,name,price,rating,in_stock
0,A Light in the Attic,£51.77,3,In stock
1,Tipping the Velvet,£53.74,1,In stock
2,Soumission,£50.10,1,In stock
3,Sharp Objects,£47.82,4,In stock
4,Sapiens: A Brief History of Humankind,£54.23,5,In stock
5,The Requiem Red,£22.65,1,In stock
6,The Dirty Little Secrets of Getting Your Dream Job,£33.34,4,In stock
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,3,In stock
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,4,In stock
9,The Black Maria,£52.15,1,In stock
10,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,2,In stock
11,Shakespeare's Sonnets,£20.66,4,In stock
12,Set Me Free,£17.46,5,In stock
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,5,In stock
14,Rip it Up and Start Again,£35.02,5,In stock
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,3,In stock
16,Olio,£23.88,1,In stock
17,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,1,In stock
18,Libertarianism for Beginners,£51.33,2,In stock
19,It's Only the Himalayas,£45.17,2,In stock
20,In Her Wake,£12.84,1,In stock
21,How Music Works,£37.32,2,In stock
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3,In stock
23,Chase Me (Paris Nights #2),£25.27,5,In stock
24,Black Dust,£34.53,5,In stock
25,Birdsong: A Story in Pictures,£54.64,3,In stock
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,3,In stock
27,Aladdin and His Wonderful Lamp,£53.13,3,In stock
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,5,In stock
29,Wall and Piece,£44.18,4,In stock
30,The Four Agreements: A Practical Guide to Personal Freedom,£17.66,5,In stock
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,3,In stock
32,The Elephant Tree,£23.82,5,In stock
33,The Bear and the Piano,£36.89,1,In stock
34,Sophie's World,£15.94,5,In stock
35,Penny Maybe,£33.29,3,In stock
36,Maude (1883-1993):She Grew Up with the country,£18.02,2,In stock
37,"In a Dark, Dark Wood",£19.63,1,In stock
38,Behind Closed Doors,£52.22,4,In stock
39,You can't bury them all: Poems,£33.63,2,In stock
